"record_id","employee_id","program_type","training_hours","completion_status","training_month"
"REC111","EMP202","Workflow Automation",32,"Partial","Jul-23"
"REC112","EMP225","AI Foundations",40,"Partial","Jan-23"
"REC113","EMP130","Data literacy",37,"Partial","2023-12-01"
"REC114","EMP032","Data Literacy",13,"Partial","2023-10-01"
"REC115","EMP073","AI Foundations",20,"Completed","2023-07-01"
"REC116","EMP045","Data Literacy",16,"partial","2023-08-01"
"REC117","EMP001","Workflow Automation",10,"Partial","2023-01-01"
"REC118","EMP279","Workflow Automation",42,"Completed","11/01/2023"
"REC119","EMP089","Data literacy",16,"completed","2023-01-01"
"REC120","EMP038","Leadership in AI",13,"Completed","2024-01-01"
"REC121","EMP256","Leadership in AI",57,"Partial","2023-01-01"
"REC122","EMP275","Data Literacy",49,"Partial","2023-02-01"
"REC123","EMP259","AI Foundations",20,"DROPPED","May-24"
"REC124","EMP036","ai foundations",24,"Dropped","Feb-23"
"REC125","EMP035","Data Literacy",14,"Partial","2023-12-01"
"REC126","EMP138","Data Literacy",26,"Partial","2024-02-01"
"REC127","EMP023","Data Literacy",5,"Completed","05/01/2023"
"REC128","EMP227","Workflow Automation",12,"Partial","01/01/2024"
"REC129","EMP254","Leadership in AI",10,"Completed","2024-01-01"
"REC130","EMP004","Data Literacy",27,"Dropped","2024-03-01"
"REC131","EMP242","Workflow Automation",8,"Completed","05/01/2023"
"REC132","EMP175","Workflow Automation",4,"Partial","2023-10-01"
"REC133","EMP075","Data Literacy",29,"Completed","Oct-23"
"REC134","EMP265","ai foundations",9,"completed","Feb-24"
"REC135","EMP247","AI Foundations",29,"Completed","04/01/2024"
"REC136","EMP066","AI Foundations",9,"Completed","2023-08-01"
"REC137","EMP047","AI Foundations",25,"DROPPED","Mar-23"
"REC138","EMP041","Workflow Automation",46,"Completed","2023-03-01"
"REC139","EMP044","Leadership in AI",17,"Completed","2023-10-01"
"REC140","EMP013","Workflow Automation",28,"Completed","03/01/2023"
"REC141","EMP186","Data Literacy",25,"Completed","2023-10-01"
"REC142","EMP034","Ai foundations",15,"Completed","2024-06-01"
"REC143","EMP238","Leadership in AI",20,"PARTIAL","2024-03-01"
"REC144","EMP244","Leadership in AI",4,"Partial","2023-08-01"
"REC145","EMP260","ai foundations",42,"DROPPED","2023-01-01"
"REC146","EMP212","Data Literacy",9,"Dropped","06/01/2024"
"REC147","EMP162","Leadership in AI",18,"partial","01/01/2024"
"REC148","EMP109","Workflow automation",14,"Completed","2024-06-01"
"REC149","EMP049","AI Foundations",9,"PARTIAL","05/01/2023"
"REC150","EMP159","Workflow Automation",47,"Completed","06/01/2024"
"REC151","EMP079","workflow automation",14,"Completed","Feb-24"
"REC152","EMP183","AI Foundations",27,"COMPLETED","Oct-23"
"REC153","EMP249","Workflow Automation",25,"Partial","2023-12-01"
"REC154","EMP046","Data Literacy",32,"partial","Mar-23"
"REC155","EMP112","AI Foundations",22,"Partial","2023-04-01"
"REC156","EMP080","AI Foundations",27,"COMPLETED","Nov-23"
"REC157","EMP213","Leadership in ai",23,"Completed","2024-01-01"
"REC158","EMP263","Workflow Automation",60,"Completed","09/01/2023"
"REC159","EMP069","Data Literacy",23,"Completed","2023-07-01"
"REC160","EMP063","Workflow Automation",14,"Dropped","2024-04-01"
"REC161","EMP101","AI Foundations",17,"PARTIAL","2024-02-01"
"REC162","EMP024","AI Foundations",26,"Completed","2023-04-01"
"REC163","EMP245","AI Foundations",31,"Completed","2023-04-01"
"REC164","EMP119","AI Foundations",20,"Completed","2023-09-01"
"REC165","EMP062","data literacy",37,"Completed","02/01/2024"
"REC166","EMP224","Workflow Automation",8,"Partial","01/01/2024"
"REC167","EMP005","Data Literacy",56,"Dropped","05/01/2024"
"REC168","EMP190","Ai foundations",27,"Completed","Apr-23"
"REC169","EMP179","Data Literacy",42,"Completed","2023-07-01"
"REC170","EMP152","Data Literacy",26,"completed","10/01/2023"
"REC171","EMP217","data literacy",33,"Partial","2024-03-01"
"REC172","EMP114","Leadership in AI",42,"Partial","02/01/2024"
"REC173","EMP248","Workflow Automation",30,"Partial","2023-03-01"
"REC174","EMP210","AI Foundations",30,"Partial","03/01/2023"
"REC175","EMP237","Workflow Automation",32,"Partial","May-23"
"REC176","EMP052","Workflow automation",34,"Partial","2023-10-01"
"REC177","EMP214","Data Literacy",14,"Completed","2023-03-01"
"REC178","EMP019","AI Foundations",10,"Partial","09/01/2023"
"REC179","EMP120","ai foundations",35,"Partial","2023-03-01"
"REC180","EMP097","Leadership in AI",16,"Completed","Jan-23"
"REC181","EMP127","AI Foundations",24,"Partial","2023-08-01"
"REC182","EMP229","Data literacy",80,"Partial","2023-01-01"
"REC183","EMP218","data literacy",13,"COMPLETED","2023-03-01"
"REC184","EMP277","Workflow Automation",4,"COMPLETED","Jan-24"
"REC185","EMP189","AI Foundations",43,"Completed","2024-03-01"
"REC186","EMP084","Data Literacy",71,"partial","Apr-23"
"REC187","EMP262","AI Foundations",32,"Completed","2023-11-01"
"REC188","EMP029","Ai foundations",29,"COMPLETED","2024-01-01"
"REC189","EMP111","AI Foundations",23,"Completed","06/01/2024"
"REC190","EMP258","Workflow Automation",23,"COMPLETED","2023-03-01"
"REC191","EMP231","Workflow Automation",11,"Completed","02/01/2023"
"REC192","EMP048","ai foundations",14,"Partial","2023-03-01"
"REC193","EMP172","Leadership in AI",59,"Completed","08/01/2023"
"REC193X","EMP172","Leadership in AI",58,"Completed","08/01/2023"
"REC194","EMP174","Ai foundations",13,"COMPLETED","06/01/2023"
"REC195","EMP147","AI Foundations",59,"Completed","04/01/2024"
"REC196","EMP057","Ai foundations",16,"Completed","2024-05-01"
"REC197","EMP006","AI Foundations",24,"Dropped","2023-05-01"
"REC198","EMP090","AI Foundations",22,"Dropped","2023-03-01"
"REC199","EMP126","Data Literacy",20,"Completed","2023-11-01"
"REC200","EMP096","AI Foundations",16,"COMPLETED","2024-05-01"
"REC201","EMP117","AI Foundations",17,"Completed","2023-12-01"
"REC202","EMP180","Data Literacy",14,"Partial","2023-11-01"
"REC203","EMP070","Leadership in AI",11,"Completed","08/01/2023"
"REC204","EMP087","Data Literacy",26,"PARTIAL","2023-07-01"
"REC205","EMP100","AI Foundations",23,"partial","2023-02-01"
"REC206","EMP158","Workflow Automation",10,"Completed","2023-05-01"
"REC207","EMP194","AI Foundations",45,"Completed","12/01/2023"
"REC208","EMP024","Workflow Automation",8,"DROPPED","01/01/2024"
"REC209","EMP098","leadership in ai",40,"Completed","2023-09-01"
"REC210","EMP019","leadership in ai",29,"Completed","2023-06-01"
"REC211","EMP035","AI Foundations",25,"Completed","2023-10-01"
"REC212","EMP076","leadership in ai",37,"Partial","2023-03-01"
"REC213","EMP115","Data literacy",8,"COMPLETED","05/01/2024"
"REC214","EMP075","AI Foundations",30,"Completed","2024-05-01"
"REC215","EMP168","Data Literacy",16,"Completed","Feb-23"
"REC216","EMP047","Leadership in AI",45,"COMPLETED","2023-10-01"
"REC217","EMP195","workflow automation",80,"COMPLETED","2023-03-01"
"REC218","EMP199","AI Foundations",40,"Completed","05/01/2023"
"REC219","EMP151","Workflow Automation",39,"Partial","02/01/2024"
"REC220","EMP056","workflow automation",15,"COMPLETED","Feb-24"
"REC221","EMP162","Workflow Automation",10,"completed","08/01/2023"
"REC222","EMP095","Data Literacy",6,"Partial","2023-01-01"
"REC223","EMP029","Workflow Automation",35,"Partial","2023-08-01"
"REC224","EMP114","Data Literacy",24,"Completed","Apr-23"
"REC225","EMP210","Workflow Automation",13,"Completed","Nov-23"
"REC226","EMP117","AI Foundations",12,"Completed","2023-12-01"
"REC227","EMP196","Workflow Automation",43,"DROPPED","2023-02-01"
"REC228","EMP058","ai foundations",43,"Completed","08/01/2023"
"REC229","EMP100","Workflow Automation",20,"Completed","Aug-23"
"REC230","EMP127","AI Foundations",31,"completed","Feb-23"
"REC231","EMP113","workflow automation",11,"PARTIAL","06/01/2023"
"REC232","EMP265","Workflow automation",36,"Dropped","01/01/2023"
"REC233","EMP102","Data Literacy",23,"COMPLETED","2023-07-01"
"REC234","EMP167","Workflow automation",8,"Partial","07/01/2023"
"REC235","EMP152","Data literacy",21,"Completed","09/01/2023"
"REC236","EMP169","Data Literacy",50,"Partial","2023-02-01"
"REC237","EMP190","Data Literacy",31,"Dropped","2024-01-01"
"REC238","EMP244","Workflow Automation",38,"Dropped","06/01/2024"
"REC239","EMP010","Data Literacy",22,"Partial","10/01/2023"
"REC240","EMP097","Workflow Automation",17,"COMPLETED","2024-06-01"
"REC241","EMP063","data literacy",5,"Completed","2023-03-01"
"REC242","EMP131","AI Foundations",33,"Completed","2023-03-01"
"REC243","EMP015","Ai foundations",12,"Completed","12/01/2023"
"REC244","EMP078","AI Foundations",44,"Partial","2024-02-01"
"REC245","EMP084","workflow automation",41,"Completed","2023-02-01"
"REC246","EMP231","Data Literacy",50,"Completed","2023-03-01"
"REC247","EMP261","AI Foundations",58,"DROPPED","2023-06-01"
"REC248","EMP268","Workflow automation",21,"Partial","2024-04-01"
"REC249","EMP132","Workflow automation",9,"Completed","Sep-23"
"REC250","EMP200","ai foundations",7,"partial","2023-02-01"
"REC251","EMP045","Data Literacy",34,"Completed","06/01/2024"
"REC252","EMP224","Workflow Automation",6,"Completed","2023-08-01"
"REC253","EMP212","Workflow Automation",17,"Completed","2023-05-01"
